iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
AUS,Oceania,Australia,2022-02-01,2620532.0,40146.0,43906.0,3905.0,70.0,86.571,101617.417,1556.757,1702.561,151.426,2.714,3.357,0.73,348.0,13.495,4664.0,180.858,,,,,61151036.0,92547.0,2371.278,3.589,121878.0,4.726,0.151,6.6,tests performed,50132340.0,21712260.0,20228401.0,8191679.0,266050.0,211486.0,194.4,84.19,78.44,31.77,8201.0,34206.0,0.133,55.56,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2022-03-01,3256772.0,21755.0,22503.286,5269.0,59.0,34.857,126289.15,843.602,872.619,204.318,2.288,1.352,1.08,121.0,4.692,1904.0,73.832,,,,,63593367.0,69785.0,2465.985,2.706,81203.0,3.149,0.095,10.5,tests performed,54155508.0,22063566.0,20490408.0,11601534.0,90001.0,94007.0,210.0,85.56,79.46,44.99,3645.0,8487.0,0.033,45.83,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUT,Europe,Austria,2022-02-01,1861707.0,26105.0,32439.429,17223.0,16.0,15.286,205871.08,2886.74,3587.213,1904.552,1.769,1.69,1.18,184.0,20.347,1674.0,185.114,,,,,142789153.0,708812.0,15789.895,78.382,746156.0,82.511,0.0435,23.0,tests performed,,,,,,28463.0,,,,,3147.0,2152.0,0.024,61.11,9043072.0,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,,,,
AUT,Europe,Austria,2022-03-01,2692641.0,21318.0,26628.286,17940.0,29.0,30.429,297757.333,2357.385,2944.606,1983.839,3.207,3.365,1.03,190.0,21.011,2561.0,283.2,,,,,159656629.0,553850.0,17655.132,61.246,536111.0,59.284,0.0497,20.1,tests performed,,,,,,5454.0,,,,,603.0,569.0,0.006,54.63,9043072.0,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,,,,
AZE,Asia,Azerbaijan,2022-02-01,663693.0,5223.0,3819.571,8755.0,21.0,17.571,64919.365,510.89,373.613,856.373,2.054,1.719,1.78,,,,,,,,,6172333.0,15945.0,603.749,1.56,12839.0,1.256,0.2975,3.4,tests performed,12039129.0,5233696.0,4743594.0,2061839.0,38362.0,27660.0,117.76,51.19,46.4,20.17,2706.0,2331.0,0.023,79.63,10223344.0,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756,,,,
AZE,Asia,Azerbaijan,2022-03-01,786502.0,832.0,1242.571,9438.0,21.0,22.571,76931.971,81.382,121.543,923.181,2.054,2.208,0.37,,,,,,,,,6563829.0,8865.0,642.043,0.867,8924.0,0.873,0.1392,7.2,tests performed,,,,,,25854.0,,,,,2529.0,1669.0,0.016,79.63,10223344.0,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756,,,,
BDI,Africa,Burundi,2022-02-01,37432.0,0.0,42.0,38.0,0.0,0.0,3054.32,0.0,3.427,3.101,0.0,0.0,0.71,,,,,,,,,1353187.0,3078.0,110.415,0.251,2357.0,0.192,0.0178,56.1,tests performed,,,,,,62.0,,,,,5.0,80.0,0.001,19.44,12255429.0,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58,0.433,,,,
BDI,Africa,Burundi,2022-03-01,38127.0,0.0,15.571,38.0,0.0,0.0,3111.029,0.0,1.271,3.101,0.0,0.0,0.87,,,,,,,,,,,,,1779.0,0.145,0.0088,114.3,tests performed,,,,,,24.0,,,,,2.0,51.0,0.0,25.0,12255429.0,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58,0.433,,,,
BEL,Europe,Belgium,2022-02-01,3184201.0,28962.0,43712.714,29083.0,31.0,31.429,273737.068,2489.784,3757.863,2500.186,2.665,2.702,0.96,419.0,36.02,4160.0,357.624,,,2560.0,220.076,30421008.0,109612.0,2615.211,9.423,101406.0,8.718,0.439,2.3,tests performed,24232424.0,9162010.0,8886703.0,6612076.0,31392.0,36952.0,208.32,78.76,76.4,56.84,3177.0,6722.0,0.058,50.0,11632334.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,,,,
BEL,Europe,Belgium,2022-03-01,3563841.0,6527.0,6181.857,30199.0,20.0,22.714,306373.682,561.108,531.437,2596.126,1.719,1.953,0.81,224.0,19.257,2187.0,188.01,,,969.0,83.302,31773371.0,38877.0,2731.47,3.342,35508.0,3.053,0.19,5.3,tests performed,25058906.0,9223454.0,9086883.0,7177271.0,8656.0,23675.0,215.42,79.29,78.12,61.7,2035.0,995.0,0.009,46.3,11632334.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,,,,
BEN,Africa,Benin,2022-02-01,26450.0,0.0,20.143,163.0,0.0,0.0,2124.322,0.0,1.618,13.091,0.0,0.0,0.35,,,,,,,,,,,,,,,,,,,,,,,14887.0,,,,,1196.0,13538.0,0.109,53.7,12451031.0,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,,,,
BEN,Africa,Benin,2022-03-01,26567.0,0.0,0.0,163.0,0.0,0.0,2133.719,0.0,0.0,13.091,0.0,0.0,0.23,,,,,,,,,,,,,,,,,,,,,,,19415.0,,,,,1559.0,13262.0,0.107,46.3,12451031.0,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,,,,
BES,North America,Bonaire Sint Eustatius and Saba,2022-02-01,7077.0,76.0,72.429,28.0,0.0,0.143,267612.025,2873.889,2738.838,1058.801,0.0,5.402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26445.0,,,,,,,,,,,,,77.79,,,,,
BES,North America,Bonaire Sint Eustatius and Saba,2022-03-01,7593.0,11.0,7.286,31.0,0.0,0.0,287124.22,415.958,275.504,1172.244,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26445.0,,,,,,,,,,,,,77.79,,,,,
BFA,Africa,Burkina Faso,2022-02-01,20649.0,25.0,19.286,371.0,5.0,2.571,960.548,1.163,0.897,17.258,0.233,0.12,0.38,,,,,,,,,,,,,270.0,0.013,0.0714,14.0,tests performed,,,,,,27639.0,,,,,1286.0,24654.0,0.115,17.59,21497097.0,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452,,,,
BFA,Africa,Burkina Faso,2022-03-01,20751.0,0.0,0.0,375.0,0.0,0.0,965.293,0.0,0.0,17.444,0.0,0.0,0.21,,,,,,,,,,,,,524.0,0.024,0.0,,tests performed,,,,,,1505.0,,,,,70.0,951.0,0.004,13.89,21497097.0,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452,,,,
BGD,Asia,Bangladesh,2022-02-01,1811987.0,13154.0,13712.857,28425.0,31.0,24.143,10895.664,79.096,82.457,170.922,0.186,0.145,1.01,,,,,,,,,12525130.0,45093.0,75.315,0.271,44514.0,0.268,0.3081,3.2,tests performed,,,,,,1022933.0,,,,,6151.0,328952.0,0.198,68.52,166303494.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,
BGD,Asia,Bangladesh,2022-03-01,1944376.0,799.0,1077.0,29045.0,8.0,7.857,11691.733,4.804,6.476,174.651,0.048,0.047,0.34,,,,,,,,,13426511.0,23817.0,80.735,0.143,23521.0,0.141,0.0458,21.8,tests performed,,,,,,3758404.0,,,,,22600.0,2824092.0,1.698,37.04,166303494.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,
BGR,Europe,Bulgaria,2022-02-01,963108.0,11143.0,8490.286,33405.0,87.0,76.571,139648.569,1615.711,1231.073,4843.652,12.615,11.103,0.99,506.0,73.369,5705.0,827.213,,,,,8523133.0,,1235.836,,40572.0,5.883,0.2093,4.8,tests performed,4173659.0,,1999666.0,615816.0,8181.0,8395.0,60.52,,28.99,8.93,1217.0,2196.0,0.032,44.44,6896655.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,,,,
BGR,Europe,Bulgaria,2022-03-01,1093920.0,2641.0,2394.286,35637.0,56.0,56.0,158616.025,382.939,347.166,5167.288,8.12,8.12,0.64,473.0,68.584,3918.0,568.101,,,,,9206636.0,18293.0,1334.942,2.652,17471.0,2.533,0.137,7.3,tests performed,4302819.0,,2046215.0,689934.0,2316.0,2883.0,62.39,,29.67,10.0,418.0,350.0,0.005,44.44,6896655.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,,,,
BHR,Asia,Bahrain,2022-02-01,382748.0,8173.0,6317.714,1408.0,0.0,1.286,218926.44,4674.84,3613.643,805.356,0.0,0.735,1.39,,,,,,,,,,,,,25715.0,14.709,0.2457,4.1,units unclear,3359327.0,1224287.0,1194409.0,940631.0,2310.0,2581.0,192.15,70.03,68.32,53.8,1476.0,717.0,0.041,50.93,1748295.0,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2.0,77.29,0.852,,,,
BHR,Asia,Bahrain,2022-03-01,517635.0,2752.0,2714.0,1455.0,1.0,1.857,296079.895,1574.105,1552.37,832.239,0.572,1.062,0.71,,,,,,,,,9397068.0,,5374.99,,11912.0,6.813,0.2278,4.4,units unclear,,,,,,1398.0,,,,,800.0,161.0,0.009,38.89,1748295.0,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2.0,77.29,0.852,,,,
BHS,North America,Bahamas,2022-02-01,32606.0,44.0,52.571,746.0,0.0,2.143,82148.778,110.855,132.45,1879.5,0.0,5.399,0.63,,,,,,,,,210442.0,,530.195,,442.0,1.114,0.1189,8.4,tests performed,,,,,,333.0,,,,,839.0,86.0,0.022,42.59,396914.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,,,,
BHS,North America,Bahamas,2022-03-01,33146.0,11.0,9.286,771.0,0.0,0.143,83509.274,27.714,23.395,1942.486,0.0,0.36,0.64,,,,,,,,,220891.0,209.0,556.521,0.527,330.0,0.831,0.0281,35.5,tests performed,,,,,,260.0,,,,,655.0,73.0,0.018,62.96,396914.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,,,,
BIH,Europe,Bosnia and Herzegovina,2022-02-01,349095.0,1628.0,1773.571,14498.0,51.0,51.714,106970.855,498.857,543.464,4442.526,15.628,15.846,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,3263459.0,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78,,,,
BIH,Europe,Bosnia and Herzegovina,2022-03-01,371381.0,179.0,307.286,15470.0,11.0,15.429,113799.806,54.85,94.16,4740.369,3.371,4.728,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,3263459.0,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78,,,,
BLR,Europe,Belarus,2022-02-01,744871.0,1918.0,2094.857,6067.0,15.0,15.429,78881.869,203.116,221.845,642.496,1.589,1.634,1.6,,,,,,,,,11731354.0,,1242.351,,31723.0,3.359,0.066,15.1,tests performed,,,,,,39062.0,,,,,4137.0,8043.0,0.085,23.15,9442867.0,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0,74.79,0.823,,,,
